County,State(Code),Deaths,Population,Crude Rate Per 100000
Bossier Parish, LA (22015),18,"126,057",Unreliable
Caddo Parish, LA (22017),33,"248,851",13.3
Calcasieu Parish, LA (22019),42,"200,601",20.9
East Baton Rouge Parish, LA (22033),43,"447,037",9.6
Jefferson Parish, LA (22051),60,"436,523",13.7
Lafayette Parish, LA (22055),38,"241,398",15.7
Lafourche Parish, LA (22057),19,"98,305",Unreliable
Livingston Parish, LA (22063),24,"140,138",17.1
Natchitoches Parish, LA (22069),12,"39,162",Unreliable
Orleans Parish, LA (22071),43,"391,495",11
Ouachita Parish, LA (22073),16,"156,983",Unreliable
Rapides Parish, LA (22079),35,"132,424",26.4
St. Landry Parish, LA (22097),18,"83,883",Unreliable
St. Martin Parish, LA (22099),13,"54,007",Unreliable
St. Tammany Parish, LA (22103),45,"253,602",17.7
Tangipahoa Parish, LA (22105),24,"130,710",18.4
Terrebonne Parish, LA (22109),20,"113,220",17.7
Vernon Parish, LA (22115),14,"50,569",Unreliable
Androscoggin County, ME (23001),22,"107,319",20.5
Aroostook County, ME (23003),15,"67,959",Unreliable
Cumberland County, ME (23005),34,"292,041",11.6
Hancock County, ME (23009),10,"54,419",Unreliable
Kennebec County, ME (23011),20,"120,569",16.6
Knox County, ME (23013),12,"39,744",Unreliable
Penobscot County, ME (23019),24,"151,806",15.8
Waldo County, ME (23027),14,"39,364",Unreliable
York County, ME (23031),35,"202,343",17.3
Allegany County, MD (24001),12,"72,130",Unreliable
Anne Arundel County, MD (24003),54,"568,346",9.5
Baltimore County, MD (24005),91,"831,026",11
Calvert County, MD (24009),13,"91,251",Unreliable
Carroll County, MD (24013),21,"167,656",12.5
Cecil County, MD (24015),16,"102,603",Unreliable
Charles County, MD (24017),20,"157,705",12.7
Frederick County, MD (24021),29,"247,591",11.7
Harford County, MD (24025),31,"251,032",12.3
Howard County, MD (24027),23,"317,233",7.3
Montgomery County, MD (24031),84,"1,043,863",8
Prince George's County, MD (24033),56,"908,049",6.2
Washington County, MD (24043),26,"150,292",17.3
Wicomico County, MD (24045),10,"102,577",Unreliable
Worcester County, MD (24047),10,"51,444",Unreliable
Baltimore city, MD (24510),55,"614,664",8.9
Barnstable County, MA (25001),25,"214,276",11.7
Berkshire County, MA (25003),15,"126,903",Unreliable
Bristol County, MA (25005),60,"558,324",10.7
Essex County, MA (25009),73,"779,018",9.4
Hampden County, MA (25013),38,"468,467",8.1
Hampshire County, MA (25015),16,"161,816",Unreliable
Middlesex County, MA (25017),158,"1,589,774",9.9
Norfolk County, MA (25021),57,"697,181",8.2
Plymouth County, MA (25023),55,"513,565",10.7
Suffolk County, MA (25025),51,"784,230",6.5
Worcester County, MA (25027),76,"819,589",9.3
Allegan County, MI (26005),15,"115,548",Unreliable
Barry County, MI (26015),10,"59,702",Unreliable
Bay County, MI (26017),20,"104,747",19.1
Berrien County, MI (26021),24,"154,010",15.6
Calhoun County, MI (26025),25,"134,386",18.6
Cass County, MI (26027),13,"51,599",Unreliable
Clinton County, MI (26037),13,"77,888",Unreliable
Eaton County, MI (26045),16,"109,160",Unreliable
Genesee County, MI (26049),37,"408,615",9.1
Grand Traverse County, MI (26055),15,"92,084",Unreliable
Hillsdale County, MI (26059),11,"45,774",Unreliable
Ingham County, MI (26065),42,"288,051",14.6
Jackson County, MI (26075),12,"158,460",Unreliable
Kalamazoo County, MI (26077),35,"261,654",13.4
Kent County, MI (26081),75,"642,173",11.7
Lapeer County, MI (26087),17,"88,340",Unreliable
Lenawee County, MI (26091),20,"98,504",20.3
Livingston County, MI (26093),37,"188,624",19.6
Macomb County, MI (26099),124,"867,730",14.3
Marquette County, MI (26103),12,"66,435",Unreliable
Midland County, MI (26111),12,"83,462",Unreliable
Monroe County, MI (26115),27,"149,208",18.1
Montcalm County, MI (26117),11,"62,974",Unreliable
Muskegon County, MI (26121),25,"173,408",14.4
Newaygo County, MI (26123),11,"47,938",Unreliable
Oakland County, MI (26125),145,"1,243,970",11.7
Ottawa County, MI (26139),25,"282,250",8.9
Saginaw County, MI (26145),21,"192,326",10.9
St. Clair County, MI (26147),26,"159,587",16.3
St. Joseph County, MI (26149),10,"60,853",Unreliable
Tuscola County, MI (26157),11,"53,338",Unreliable
Van Buren County, MI (26159),11,"75,223",Unreliable
Washtenaw County, MI (26161),39,"364,709",10.7
Wayne County, MI (26163),212,"1,749,366",12.1
Anoka County, MN (27003),52,"345,957",15
Blue Earth County, MN (27013),16,"66,441",Unreliable
Dakota County, MN (27037),47,"417,486",11.3
Hennepin County, MN (27053),139,"1,232,483",11.3
Olmsted County, MN (27109),21,"153,102",13.7
Otter Tail County, MN (27111),14,"58,085",Unreliable
Ramsey County, MN (27123),67,"540,649",12.4
St. Louis County, MN (27137),40,"199,980",20
