County,State(Code),Deaths,Population,Crude Rate Per 100000
Hinds County, MS (28049),60,"241,229",24.9
Jackson County, MS (28059),16,"141,241",Unreliable
Jones County, MS (28067),14,"67,953",Unreliable
Lee County, MS (28081),18,"85,381",Unreliable
Leflore County, MS (28083),20,"29,856",67
Lincoln County, MS (28085),10,"34,523",Unreliable
Madison County, MS (28089),14,"105,114",Unreliable
Neshoba County, MS (28099),10,"29,403",Unreliable
Pike County, MS (28113),29,"39,667",73.1
Rankin County, MS (28121),30,"150,228",20
Tallahatchie County, MS (28135),15,"14,394",Unreliable
Warren County, MS (28149),11,"47,140",Unreliable
Washington County, MS (28151),16,"47,231",Unreliable
Audrain County, MO (29007),16,"26,021",Unreliable
Clay County, MO (29047),24,"239,085",10
Cole County, MO (29051),10,"76,631",Unreliable
Greene County, MO (29077),18,"288,690",Unreliable
Jackson County, MO (29095),41,"691,801",5.9
Jefferson County, MO (29099),21,"224,226",9.4
Laclede County, MO (29105),11,"35,490",Unreliable
Moniteau County, MO (29135),20,"16,018",124.9
Morgan County, MO (29141),11,"20,213",Unreliable
Platte County, MO (29165),12,"98,309",Unreliable
St. Charles County, MO (29183),29,"390,918",7.4
St. Louis County, MO (29189),85,"998,581",8.5
St. Louis city, MO (29510),23,"311,404",7.4
Yellowstone County, MT (30111),19,"158,437",Unreliable
Douglas County, NE (31055),79,"554,995",14.2
Lancaster County, NE (31109),45,"309,637",14.5
Sarpy County, NE (31153),13,"179,023",Unreliable
Scotts Bluff County, NE (31157),10,"36,422",Unreliable
Clark County, NV (32003),163,"2,155,664",7.6
Lyon County, NV (32019),12,"53,179",Unreliable
Nye County, NV (32023),12,"43,423",Unreliable
Washoe County, NV (32031),32,"453,616",7.1
Cheshire County, NH (33005),11,"75,774",Unreliable
Hillsborough County, NH (33011),30,"407,761",7.4
Merrimack County, NH (33013),13,"148,582",Unreliable
Rockingham County, NH (33015),20,"303,251",6.6
Atlantic County, NJ (34001),40,"270,991",14.8
Bergen County, NJ (34003),76,"939,151",8.1
Burlington County, NJ (34005),36,"449,284",8
Camden County, NJ (34007),55,"510,150",10.8
Cumberland County, NJ (34011),20,"153,797",13
Essex County, NJ (34013),76,"796,914",9.5
Gloucester County, NJ (34015),32,"292,330",10.9
Hudson County, NJ (34017),60,"677,983",8.8
Mercer County, NJ (34021),34,"371,023",9.2
Middlesex County, NJ (34023),67,"837,073",8
Monmouth County, NJ (34025),44,"625,846",7
Morris County, NJ (34027),47,"498,423",9.4
Ocean County, NJ (34029),52,"592,497",8.8
Passaic County, NJ (34031),48,"507,945",9.4
Somerset County, NJ (34035),33,"333,751",9.9
Union County, NJ (34039),40,"555,630",7.2
Bernalillo County, NM (35001),38,"676,953",5.6
Chaves County, NM (35005),18,"65,282",Unreliable
Dona Ana County, NM (35013),20,"214,207",9.3
Lea County, NM (35025),12,"69,749",Unreliable
Albany County, NY (36001),45,"308,846",14.6
Bronx County, NY (36005),262,"1,455,720",18
Broome County, NY (36007),34,"195,334",17.4
Cattaraugus County, NY (36009),10,"77,677",Unreliable
Chautauqua County, NY (36013),34,"129,504",26.3
Chenango County, NY (36017),10,"48,579",Unreliable
Columbia County, NY (36021),13,"60,989",Unreliable
Delaware County, NY (36025),12,"45,523",Unreliable
Dutchess County, NY (36027),30,"294,473",10.2
Erie County, NY (36029),141,"921,046",15.3
Genesee County, NY (36037),11,"58,482",Unreliable
Herkimer County, NY (36043),13,"62,613",Unreliable
Kings County, NY (36047),340,"2,629,150",12.9
Monroe County, NY (36055),46,"747,727",6.2
Montgomery County, NY (36057),17,"49,276",Unreliable
Nassau County, NY (36059),138,"1,361,500",10.1
New York County, NY (36061),215,"1,643,734",13.1
Niagara County, NY (36063),47,"211,758",22.2
Oneida County, NY (36065),36,"231,190",15.6
Onondaga County, NY (36067),69,"466,194",14.8
Ontario County, NY (36069),12,"109,828",Unreliable
Orange County, NY (36071),35,"379,210",9.2
Oswego County, NY (36075),15,"118,987",Unreliable
Otsego County, NY (36077),11,"60,097",Unreliable
Queens County, NY (36081),278,"2,333,054",11.9
Rensselaer County, NY (36083),26,"160,070",16.2
Richmond County, NY (36085),54,"476,015",11.3
Rockland County, NY (36087),28,"326,780",8.6
St. Lawrence County, NY (36089),13,"110,038",Unreliable
Saratoga County, NY (36091),31,"227,053",13.7
Schenectady County, NY (36093),26,"154,553",16.8
Suffolk County, NY (36103),150,"1,492,583",10
Ulster County, NY (36111),19,"179,225",Unreliable
Westchester County, NY (36119),114,"974,542",11.7
Wyoming County, NY (36121),10,"40,791",Unreliable
Alamance County, NC (37001),12,"159,688",Unreliable
Beaufort County, NC (37013),11,"47,526",Unreliable
Buncombe County, NC (37021),22,"256,088",8.6
Catawba County, NC (37035),18,"156,459",Unreliable
Cleveland County, NC (37045),13,"97,144",Unreliable
Columbus County, NC (37047),10,"56,505",Unreliable
Cumberland County, NC (37051),42,"327,127",12.8
Davidson County, NC (37057),16,"164,926",Unreliable
Duplin County, NC (37061),10,"58,969",Unreliable
Durham County, NC (37063),24,"306,212",7.8
Edgecombe County, NC (37065),11,"53,318",Unreliable
Forsyth County, NC (37067),37,"371,511",10
Gaston County, NC (37071),19,"216,965",Unreliable
Guilford County, NC (37081),47,"521,330",9
Halifax County, NC (37083),19,"51,766",Unreliable
Harnett County, NC (37085),17,"130,881",Unreliable
Hertford County, NC (37091),12,"24,136",Unreliable
Iredell County, NC (37097),11,"172,916",Unreliable
Johnston County, NC (37101),16,"191,450",Unreliable
Lenoir County, NC (37107),14,"57,307",Unreliable
Mecklenburg County, NC (37119),63,"1,054,835",6
Moore County, NC (37125),12,"95,776",Unreliable
Nash County, NC (37127),18,"94,005",Unreliable
New Hanover County, NC (37129),14,"223,483",Unreliable
Onslow County, NC (37133),11,"187,136",Unreliable
Orange County, NC (37135),11,"141,796",Unreliable
Pitt County, NC (37147),13,"177,220",Unreliable
Richmond County, NC (37153),10,"44,939",Unreliable
