County,State(Code),Deaths,Population,Crude Rate Per 100000
Northumberland County, PA (42097),13,"92,541",Unreliable
Philadelphia County, PA (42101),98,"1,567,872",6.3
Schuylkill County, PA (42107),23,"143,573",16
Washington County, PA (42125),26,"207,981",12.5
Westmoreland County, PA (42129),55,"355,458",15.5
York County, PA (42133),25,"443,744",5.6
Kent County, RI (44003),15,"164,614",Unreliable
Providence County, RI (44007),58,"633,673",9.2
Washington County, RI (44009),14,"126,288",Unreliable
Anderson County, SC (45007),26,"196,569",13.2
Beaufort County, SC (45013),16,"183,149",Unreliable
Berkeley County, SC (45015),11,"210,898",Unreliable
Charleston County, SC (45019),24,"396,484",6.1
Georgetown County, SC (45043),10,"61,399",Unreliable
Greenville County, SC (45045),29,"498,766",5.8
Horry County, SC (45051),19,"322,342",Unreliable
Lexington County, SC (45063),25,"286,196",8.7
Richland County, SC (45079),23,"409,549",5.6
Spartanburg County, SC (45083),27,"301,463",9
Sumter County, SC (45085),11,"107,396",Unreliable
Minnehaha County, SD (46099),10,"187,318",Unreliable
Blount County, TN (47009),22,"128,670",17.1
Bradley County, TN (47011),10,"104,490",Unreliable
Cannon County, TN (47015),11,"14,027",Unreliable
Davidson County, TN (47037),38,"684,410",5.6
Gibson County, TN (47053),16,"49,401",Unreliable
Hamilton County, TN (47065),42,"357,738",11.7
Henry County, TN (47079),12,"32,310",Unreliable
Knox County, TN (47093),41,"456,132",9
Madison County, TN (47113),20,"97,663",20.5
Maury County, TN (47119),11,"89,981",Unreliable
Rutherford County, TN (47149),12,"308,251",Unreliable
Sevier County, TN (47155),10,"96,673",Unreliable
Shelby County, TN (47157),57,"934,603",6.1
Sullivan County, TN (47163),14,"156,667",Unreliable
Sumner County, TN (47165),14,"180,063",Unreliable
Bell County, TX (48027),12,"340,411",Unreliable
Bexar County, TX (48029),72,"1,928,680",3.7
Brazoria County, TX (48039),14,"354,195",Unreliable
Cameron County, TX (48061),59,"422,135",14
Collin County, TX (48085),24,"939,585",2.6
Dallas County, TX (48113),113,"2,574,984",4.4
Denton County, TX (48121),34,"806,180",4.2
Ellis County, TX (48139),13,"168,499",Unreliable
El Paso County, TX (48141),35,"837,918",4.2
Fort Bend County, TX (48157),28,"741,237",3.8
Galveston County, TX (48167),17,"329,431",Unreliable
Harris County, TX (48201),211,"4,589,928",4.6
Hays County, TX (48209),14,"204,470",Unreliable
Hidalgo County, TX (48215),37,"849,843",4.4
Jefferson County, TX (48245),22,"254,679",8.6
Lamar County, TX (48277),12,"49,791",Unreliable
Lubbock County, TX (48303),18,"303,137",Unreliable
McLennan County, TX (48309),11,"247,934",Unreliable
Montgomery County, TX (48339),20,"556,203",3.6
Nueces County, TX (48355),19,"361,350",Unreliable
Parker County, TX (48367),11,"129,441",Unreliable
Potter County, TX (48375),11,"120,832",Unreliable
Smith County, TX (48423),16,"225,290",Unreliable
Tarrant County, TX (48439),99,"2,016,872",4.9
Taylor County, TX (48441),10,"136,535",Unreliable
Travis County, TX (48453),52,"1,199,323",4.3
Webb County, TX (48479),16,"271,193",Unreliable
Williamson County, TX (48491),26,"528,718",4.9
Davis County, UT (49011),10,"342,281",Unreliable
Salt Lake County, UT (49035),45,"1,121,354",4
Utah County, UT (49049),20,"592,299",3.4
Washington County, UT (49053),16,"160,245",Unreliable
Weber County, UT (49057),12,"247,560",Unreliable
