County,State(Code),Deaths,Population,Crude Rate Per 100000
Terrebonne Parish, LA (22109),11,"113,220",Unreliable
Union Parish, LA (22111),12,"22,487",Unreliable
Webster Parish, LA (22119),12,"39,710",Unreliable
Androscoggin County, ME (23001),14,"107,319",Unreliable
Aroostook County, ME (23003),20,"67,959",29.4
Cumberland County, ME (23005),47,"292,041",16.1
Kennebec County, ME (23011),16,"120,569",Unreliable
Penobscot County, ME (23019),36,"151,806",23.7
York County, ME (23031),26,"202,343",12.8
Allegany County, MD (24001),27,"72,130",37.4
Anne Arundel County, MD (24003),122,"568,346",21.5
Baltimore County, MD (24005),181,"831,026",21.8
Caroline County, MD (24011),11,"32,850",Unreliable
Carroll County, MD (24013),26,"167,656",15.5
Cecil County, MD (24015),14,"102,603",Unreliable
Charles County, MD (24017),19,"157,705",Unreliable
Frederick County, MD (24021),65,"247,591",26.3
Harford County, MD (24025),41,"251,032",16.3
Howard County, MD (24027),30,"317,233",9.5
Montgomery County, MD (24031),147,"1,043,863",14.1
Prince George's County, MD (24033),114,"908,049",12.6
St. Mary's County, MD (24037),12,"112,587",Unreliable
Washington County, MD (24043),23,"150,292",15.3
Wicomico County, MD (24045),10,"102,577",Unreliable
Worcester County, MD (24047),15,"51,444",Unreliable
Baltimore city, MD (24510),119,"614,664",19.4
Barnstable County, MA (25001),72,"214,276",33.6
Berkshire County, MA (25003),27,"126,903",21.3
Bristol County, MA (25005),147,"558,324",26.3
Essex County, MA (25009),130,"779,018",16.7
Franklin County, MA (25011),16,"70,382",Unreliable
Hampden County, MA (25013),93,"468,467",19.9
Hampshire County, MA (25015),32,"161,816",19.8
Middlesex County, MA (25017),242,"1,589,774",15.2
Norfolk County, MA (25021),122,"697,181",17.5
Plymouth County, MA (25023),121,"513,565",23.6
Suffolk County, MA (25025),73,"784,230",9.3
Worcester County, MA (25027),167,"819,589",20.4
Allegan County, MI (26005),27,"115,548",23.4
Arenac County, MI (26011),10,"15,122",Unreliable
Barry County, MI (26015),13,"59,702",Unreliable
Bay County, MI (26017),23,"104,747",22
Berrien County, MI (26021),16,"154,010",Unreliable
Branch County, MI (26023),14,"43,427",Unreliable
Calhoun County, MI (26025),30,"134,386",22.3
Clare County, MI (26035),10,"30,358",Unreliable
Clinton County, MI (26037),11,"77,888",Unreliable
Genesee County, MI (26049),58,"408,615",14.2
Grand Traverse County, MI (26055),11,"92,084",Unreliable
Huron County, MI (26063),13,"31,481",Unreliable
Ingham County, MI (26065),29,"288,051",10.1
Ionia County, MI (26067),12,"64,232",Unreliable
Jackson County, MI (26075),27,"158,460",17
Kalamazoo County, MI (26077),35,"261,654",13.4
Kent County, MI (26081),87,"642,173",13.5
Lapeer County, MI (26087),27,"88,340",30.6
Lenawee County, MI (26091),10,"98,504",Unreliable
Livingston County, MI (26093),28,"188,624",14.8
Macomb County, MI (26099),148,"867,730",17.1
Midland County, MI (26111),16,"83,462",Unreliable
Monroe County, MI (26115),24,"149,208",16.1
Montcalm County, MI (26117),11,"62,974",Unreliable
Muskegon County, MI (26121),21,"173,408",12.1
Newaygo County, MI (26123),10,"47,938",Unreliable
Oakland County, MI (26125),188,"1,243,970",15.1
Ottawa County, MI (26139),40,"282,250",14.2
Saginaw County, MI (26145),42,"192,326",21.8
St. Clair County, MI (26147),15,"159,587",Unreliable
St. Joseph County, MI (26149),16,"60,853",Unreliable
Sanilac County, MI (26151),14,"41,409",Unreliable
Shiawassee County, MI (26155),12,"68,554",Unreliable
Van Buren County, MI (26159),12,"75,223",Unreliable
Washtenaw County, MI (26161),29,"364,709",8
Wayne County, MI (26163),368,"1,749,366",21
Anoka County, MN (27003),21,"345,957",6.1
Carver County, MN (27019),12,"100,262",Unreliable
Dakota County, MN (27037),22,"417,486",5.3
Hennepin County, MN (27053),124,"1,232,483",10.1
Itasca County, MN (27061),15,"45,242",Unreliable
Olmsted County, MN (27109),10,"153,102",Unreliable
Otter Tail County, MN (27111),10,"58,085",Unreliable
Ramsey County, MN (27123),35,"540,649",6.5
St. Louis County, MN (27137),31,"199,980",15.5
Stearns County, MN (27145),26,"155,652",16.7
Washington County, MN (27163),15,"253,117",Unreliable
Alcorn County, MS (28003),24,"37,304",64.3
Copiah County, MS (28029),11,"28,482",Unreliable
DeSoto County, MS (28033),21,"175,611",12
Forrest County, MS (28035),34,"75,979",44.7
Grenada County, MS (28043),13,"21,275",Unreliable
Harrison County, MS (28047),64,"203,234",31.5
Hinds County, MS (28049),44,"241,229",18.2
Jackson County, MS (28059),26,"141,241",18.4
Jones County, MS (28067),20,"67,953",29.4
Lamar County, MS (28073),22,"60,914",36.1
Lauderdale County, MS (28075),24,"77,755",30.9
Lee County, MS (28081),26,"85,381",30.5
Lincoln County, MS (28085),15,"34,523",Unreliable
Lowndes County, MS (28087),11,"59,602",Unreliable
Marion County, MS (28091),12,"25,251",Unreliable
Marshall County, MS (28093),11,"35,801",Unreliable
Neshoba County, MS (28099),14,"29,403",Unreliable
Newton County, MS (28101),12,"21,558",Unreliable
Pearl River County, MS (28109),17,"55,310",Unreliable
Pike County, MS (28113),12,"39,667",Unreliable
Prentiss County, MS (28117),10,"25,256",Unreliable
Rankin County, MS (28121),27,"150,228",18
Simpson County, MS (28127),15,"26,912",Unreliable
Warren County, MS (28149),17,"47,140",Unreliable
Barry County, MO (29009),13,"35,732",Unreliable
Boone County, MO (29019),13,"176,594",Unreliable
Buchanan County, MO (29021),15,"88,938",Unreliable
Camden County, MO (29029),13,"44,497",Unreliable
Cape Girardeau County, MO (29031),23,"78,913",29.1
Cass County, MO (29037),27,"102,845",26.3
