County,State(Code),Deaths,Population,Crude Rate Per 100000
Peoria County, IL (17143),28,"185,006",15.1
Perry County, IL (17145),16,"21,357",Unreliable
Randolph County, IL (17157),10,"32,621",Unreliable
Rock Island County, IL (17161),44,"144,784",30.4
St. Clair County, IL (17163),69,"262,759",26.3
Saline County, IL (17165),14,"24,307",Unreliable
Sangamon County, IL (17167),32,"197,499",16.2
Stephenson County, IL (17177),11,"45,624",Unreliable
Vermilion County, IL (17183),30,"78,111",38.4
Wayne County, IL (17191),10,"16,396",Unreliable
Whiteside County, IL (17195),14,"56,536",Unreliable
Will County, IL (17197),118,"689,529",17.1
Williamson County, IL (17199),26,"67,560",38.5
Winnebago County, IL (17201),89,"285,873",31.1
Allen County, IN (18003),80,"370,404",21.6
Bartholomew County, IN (18005),27,"81,402",33.2
Boone County, IN (18011),10,"64,653",Unreliable
Clark County, IN (18019),30,"116,031",25.9
Daviess County, IN (18027),16,"32,969",Unreliable
Delaware County, IN (18035),31,"115,603",26.8
Dubois County, IN (18037),11,"42,552",Unreliable
Elkhart County, IN (18039),37,"203,781",18.2
Fayette County, IN (18041),10,"23,331",Unreliable
Floyd County, IN (18043),13,"76,990",Unreliable
Grant County, IN (18053),13,"66,937",Unreliable
Hamilton County, IN (18057),37,"316,373",11.7
Hancock County, IN (18059),19,"73,717",Unreliable
Harrison County, IN (18061),12,"39,826",Unreliable
Hendricks County, IN (18063),20,"160,610",12.5
Henry County, IN (18065),14,"48,521",Unreliable
Howard County, IN (18067),17,"82,568",Unreliable
Huntington County, IN (18069),14,"36,400",Unreliable
Johnson County, IN (18081),21,"151,982",13.8
Kosciusko County, IN (18085),10,"79,092",Unreliable
Lake County, IN (18089),122,"485,846",25.1
La Porte County, IN (18091),26,"110,015",23.6
Lawrence County, IN (18093),10,"45,518",Unreliable
Madison County, IN (18095),26,"129,296",20.1
Marion County, IN (18097),205,"941,229",21.8
Marshall County, IN (18099),12,"46,556",Unreliable
Monroe County, IN (18105),24,"145,496",16.5
Noble County, IN (18113),14,"47,638",Unreliable
Porter County, IN (18127),28,"167,791",16.7
Putnam County, IN (18133),13,"37,436",Unreliable
St. Joseph County, IN (18141),49,"269,141",18.2
Steuben County, IN (18151),11,"34,116",Unreliable
Tippecanoe County, IN (18157),26,"188,059",13.8
Vanderburgh County, IN (18163),47,"181,721",25.9
Vigo County, IN (18167),41,"107,931",38
Wayne County, IN (18177),14,"66,568",Unreliable
Whitley County, IN (18183),10,"33,449",Unreliable
Black Hawk County, IA (19013),21,"132,904",15.8
Linn County, IA (19113),21,"221,661",9.5
Polk County, IA (19153),41,"474,045",8.6
Pottawattamie County, IA (19155),12,"93,582",Unreliable
Scott County, IA (19163),32,"172,474",18.6
Woodbury County, IA (19193),15,"102,779",Unreliable
Butler County, KS (20015),13,"67,025",Unreliable
Cowley County, KS (20035),12,"35,753",Unreliable
Douglas County, KS (20045),12,"119,440",Unreliable
Johnson County, KS (20091),76,"584,451",13
Labette County, KS (20099),13,"20,444",Unreliable
Reno County, KS (20155),18,"63,220",Unreliable
Saline County, KS (20169),10,"55,142",Unreliable
Sedgwick County, KS (20173),87,"511,995",17
Shawnee County, KS (20177),28,"178,146",15.7
Wyandotte County, KS (20209),34,"163,831",20.8
Barren County, KY (21009),10,"43,993",Unreliable
Boone County, KY (21015),10,"128,536",Unreliable
Boyd County, KY (21019),14,"48,132",Unreliable
Breckinridge County, KY (21027),12,"19,961",Unreliable
Christian County, KY (21047),14,"72,351",Unreliable
Clark County, KY (21049),12,"35,819",Unreliable
Daviess County, KY (21059),27,"99,674",27.1
Fayette County, KY (21067),39,"318,449",12.2
Floyd County, KY (21071),12,"37,110",Unreliable
Franklin County, KY (21073),12,"50,560",Unreliable
Graves County, KY (21083),10,"37,182",Unreliable
Greenup County, KY (21089),12,"35,893",Unreliable
Hardin County, KY (21093),13,"107,316",Unreliable
Henderson County, KY (21101),10,"46,253",Unreliable
Hopkins County, KY (21107),14,"45,904",Unreliable
Jackson County, KY (21109),10,"13,368",Unreliable
Jefferson County, KY (21111),209,"765,352",27.3
Jessamine County, KY (21113),11,"52,357",Unreliable
Kenton County, KY (21117),18,"164,945",Unreliable
Knox County, KY (21121),12,"31,687",Unreliable
Laurel County, KY (21125),19,"60,250",Unreliable
Lawrence County, KY (21127),14,"15,863",Unreliable
McCracken County, KY (21145),31,"65,162",47.6
Madison County, KY (21151),20,"89,547",22.3
Marshall County, KY (21157),14,"31,365",Unreliable
Meade County, KY (21163),10,"28,126",Unreliable
Muhlenberg County, KY (21177),14,"31,028",Unreliable
Oldham County, KY (21185),10,"65,560",Unreliable
Perry County, KY (21193),13,"27,343",Unreliable
Pike County, KY (21195),24,"60,555",39.6
Pulaski County, KY (21199),23,"63,956",36
Warren County, KY (21227),20,"125,532",15.9
Acadia Parish, LA (22001),14,"62,645",Unreliable
Ascension Parish, LA (22005),22,"121,587",18.1
Beauregard Parish, LA (22011),17,"36,927",Unreliable
Bossier Parish, LA (22015),25,"126,057",19.8
Caddo Parish, LA (22017),47,"248,851",18.9
Calcasieu Parish, LA (22019),20,"200,601",10
East Baton Rouge Parish, LA (22033),131,"447,037",29.3
East Feliciana Parish, LA (22037),10,"19,683",Unreliable
Evangeline Parish, LA (22039),13,"33,709",Unreliable
Iberia Parish, LA (22045),20,"73,273",27.3
Iberville Parish, LA (22047),14,"32,920",Unreliable
