County,State(Code),Deaths,Population,Crude Rate Per 100000
McPherson County, KS (20113),24,"28,804",83.3
Marion County, KS (20115),12,"12,112",Unreliable
Miami County, KS (20121),15,"32,964",Unreliable
Montgomery County, KS (20125),13,"32,746",Unreliable
Reno County, KS (20155),25,"63,220",39.5
Riley County, KS (20161),11,"73,343",Unreliable
Saline County, KS (20169),25,"55,142",45.3
Sedgwick County, KS (20173),105,"511,995",20.5
Shawnee County, KS (20177),58,"178,146",32.6
Wyandotte County, KS (20209),28,"163,831",17.1
Barren County, KY (21009),26,"43,993",59.1
Boone County, KY (21015),33,"128,536",25.7
Boyd County, KY (21019),31,"48,132",64.4
Boyle County, KY (21021),22,"30,018",73.3
Bullitt County, KY (21029),13,"79,151",Unreliable
Calloway County, KY (21035),10,"38,437",Unreliable
Campbell County, KY (21037),25,"92,211",27.1
Christian County, KY (21047),22,"72,351",30.4
Clark County, KY (21049),24,"35,819",67
Daviess County, KY (21059),43,"99,674",43.1
Fayette County, KY (21067),100,"318,449",31.4
Floyd County, KY (21071),12,"37,110",Unreliable
Franklin County, KY (21073),18,"50,560",Unreliable
Grant County, KY (21081),11,"24,923",Unreliable
Graves County, KY (21083),33,"37,182",88.8
Grayson County, KY (21085),13,"26,184",Unreliable
Greenup County, KY (21089),30,"35,893",83.6
Hardin County, KY (21093),26,"107,316",24.2
Henderson County, KY (21101),17,"46,253",Unreliable
Hopkins County, KY (21107),21,"45,904",45.7
Jefferson County, KY (21111),331,"765,352",43.2
Jessamine County, KY (21113),15,"52,357",Unreliable
Johnson County, KY (21115),10,"22,978",Unreliable
Kenton County, KY (21117),39,"164,945",23.6
Knott County, KY (21119),13,"15,544",Unreliable
Knox County, KY (21121),11,"31,687",Unreliable
Larue County, KY (21123),14,"14,096",Unreliable
Laurel County, KY (21125),25,"60,250",41.5
Letcher County, KY (21133),12,"22,773",Unreliable
Lincoln County, KY (21137),19,"24,372",Unreliable
Logan County, KY (21141),10,"26,593",Unreliable
McCracken County, KY (21145),33,"65,162",50.6
Madison County, KY (21151),40,"89,547",44.7
Marion County, KY (21155),11,"19,205",Unreliable
Marshall County, KY (21157),16,"31,365",Unreliable
Mason County, KY (21161),11,"17,190",Unreliable
Mercer County, KY (21167),15,"21,477",Unreliable
Muhlenberg County, KY (21177),15,"31,028",Unreliable
Nelson County, KY (21179),17,"45,559",Unreliable
Ohio County, KY (21183),10,"24,378",Unreliable
Oldham County, KY (21185),14,"65,560",Unreliable
Perry County, KY (21193),15,"27,343",Unreliable
Pike County, KY (21195),40,"60,555",66.1
Pulaski County, KY (21199),23,"63,956",36
Rowan County, KY (21205),14,"24,451",Unreliable
Scott County, KY (21209),16,"53,972",Unreliable
Shelby County, KY (21211),12,"46,408",Unreliable
Taylor County, KY (21217),12,"25,397",Unreliable
Warren County, KY (21227),53,"125,532",42.2
Acadia Parish, LA (22001),50,"62,645",79.8
Allen Parish, LA (22003),10,"25,684",Unreliable
Ascension Parish, LA (22005),36,"121,587",29.6
Avoyelles Parish, LA (22009),33,"41,117",80.3
Beauregard Parish, LA (22011),13,"36,927",Unreliable
Bienville Parish, LA (22013),12,"13,865",Unreliable
Bossier Parish, LA (22015),66,"126,057",52.4
Caddo Parish, LA (22017),185,"248,851",74.3
