County,State(Code),Deaths,Population,Crude Rate Per 100000
Houston County, GA (13153),44,"152,122",28.9
Jackson County, GA (13157),41,"64,615",63.5
Jeff Davis County, GA (13161),16,"14,877",Unreliable
Jefferson County, GA (13163),11,"15,916",Unreliable
Jones County, GA (13169),16,"28,623",Unreliable
Laurens County, GA (13175),22,"47,516",46.3
Lee County, GA (13177),12,"29,337",Unreliable
Liberty County, GA (13179),20,"62,570",32
Lowndes County, GA (13185),59,"114,628",51.5
Lumpkin County, GA (13187),19,"31,445",Unreliable
McDuffie County, GA (13189),12,"21,490",Unreliable
McIntosh County, GA (13191),11,"13,927",Unreliable
Madison County, GA (13195),10,"28,824",Unreliable
Meriwether County, GA (13199),13,"21,074",Unreliable
Mitchell County, GA (13205),14,"22,459",Unreliable
Monroe County, GA (13207),23,"27,306",84.2
Morgan County, GA (13211),11,"18,170",Unreliable
Murray County, GA (13213),29,"39,315",73.8
Muscogee County, GA (13215),111,"197,485",56.2
Newton County, GA (13217),55,"106,999",51.4
Oconee County, GA (13219),13,"36,838",Unreliable
Paulding County, GA (13223),76,"155,825",48.8
Peach County, GA (13225),17,"26,655",Unreliable
Pickens County, GA (13227),12,"30,832",Unreliable
Pierce County, GA (13229),11,"19,171",Unreliable
Polk County, GA (13233),42,"41,776",100.5
Putnam County, GA (13237),16,"21,477",Unreliable
Rabun County, GA (13241),14,"16,559",Unreliable
Richmond County, GA (13245),111,"201,647",55
Rockdale County, GA (13247),44,"89,355",49.2
Spalding County, GA (13255),45,"64,806",69.4
Stephens County, GA (13257),17,"25,751",Unreliable
Sumter County, GA (13261),19,"30,389",Unreliable
Tattnall County, GA (13267),19,"25,092",Unreliable
Thomas County, GA (13275),17,"45,248",Unreliable
Tift County, GA (13277),27,"40,828",66.1
Toombs County, GA (13279),16,"27,196",Unreliable
Towns County, GA (13281),12,"11,391",Unreliable
Troup County, GA (13285),40,"70,005",57.1
Union County, GA (13291),14,"22,928",Unreliable
Walker County, GA (13295),35,"67,896",51.5
Walton County, GA (13297),51,"90,184",56.6
Ware County, GA (13299),24,"35,738",67.2
Washington County, GA (13303),13,"20,457",Unreliable
Wayne County, GA (13305),24,"30,104",79.7
White County, GA (13311),17,"28,884",Unreliable
Whitfield County, GA (13313),34,"104,589",32.5
Worth County, GA (13321),13,"20,748",Unreliable
Hawaii County, HI (15001),72,"198,449",36.3
Honolulu County, HI (15003),410,"992,605",41.3
Kauai County, HI (15007),31,"72,029",43
Maui County, HI (15009),64,"165,386",38.7
Ada County, ID (16001),180,"444,028",40.5
Bannock County, ID (16005),46,"84,377",54.5
Bingham County, ID (16011),34,"45,201",75.2
Blaine County, ID (16013),11,"21,791",Unreliable
Bonner County, ID (16017),26,"42,536",61.1
Bonneville County, ID (16019),65,"112,232",57.9
Canyon County, ID (16027),77,"211,698",36.4
Cassia County, ID (16031),19,"23,504",Unreliable
Elmore County, ID (16039),11,"26,018",Unreliable
Gem County, ID (16045),14,"17,184",Unreliable
Gooding County, ID (16047),12,"15,185",Unreliable
Idaho County, ID (16049),16,"16,156",Unreliable
Jefferson County, ID (16051),13,"27,839",Unreliable
Jerome County, ID (16053),19,"22,994",Unreliable
Kootenai County, ID (16055),73,"154,311",47.3
Latah County, ID (16057),14,"39,196",Unreliable
Minidoka County, ID (16067),15,"20,616",Unreliable
Nez Perce County, ID (16069),27,"40,369",66.9
Payette County, ID (16075),15,"23,026",Unreliable
Shoshone County, ID (16079),10,"12,452",Unreliable
Twin Falls County, ID (16083),61,"83,514",73
Adams County, IL (17001),38,"66,578",57.1
Boone County, IL (17007),23,"53,503",43
Bureau County, IL (17011),25,"33,359",74.9
Champaign County, IL (17019),82,"208,419",39.3
Christian County, IL (17021),25,"33,309",75.1
Clark County, IL (17023),10,"15,938",Unreliable
Clinton County, IL (17027),18,"37,729",Unreliable
Coles County, IL (17029),21,"52,343",40.1
Cook County, IL (17031),"2,053","5,203,499",39.5
Crawford County, IL (17033),17,"19,308",Unreliable
DeKalb County, IL (17037),40,"104,528",38.3
Douglas County, IL (17041),11,"19,630",Unreliable
DuPage County, IL (17043),260,"929,368",28
Edgar County, IL (17045),12,"17,566",Unreliable
Effingham County, IL (17049),16,"34,386",Unreliable
Fayette County, IL (17051),14,"21,789",Unreliable
Franklin County, IL (17055),37,"39,156",94.5
Fulton County, IL (17057),17,"35,536",Unreliable
Greene County, IL (17061),10,"13,093",Unreliable
Grundy County, IL (17063),21,"50,437",41.6
Hancock County, IL (17067),12,"18,508",Unreliable
Henry County, IL (17073),23,"49,280",46.7
Iroquois County, IL (17075),26,"28,334",91.8
Jackson County, IL (17077),31,"58,870",52.7
Jasper County, IL (17079),12,"9,536",Unreliable
Jefferson County, IL (17081),26,"38,460",67.6
Jersey County, IL (17083),13,"22,025",Unreliable
Jo Daviess County, IL (17085),21,"21,770",96.5
Kane County, IL (17089),170,"531,715",32
Kankakee County, IL (17091),57,"110,008",51.8
Kendall County, IL (17093),51,"124,695",40.9
Knox County, IL (17095),27,"50,938",53
Lake County, IL (17097),223,"703,047",31.7
LaSalle County, IL (17099),59,"110,642",53.3
Lee County, IL (17103),18,"34,251",Unreliable
Livingston County, IL (17105),22,"36,526",60.2
Logan County, IL (17107),16,"29,527",Unreliable
McDonough County, IL (17109),13,"30,996",Unreliable
McHenry County, IL (17111),131,"307,004",42.7
McLean County, IL (17113),59,"172,418",34.2
Macon County, IL (17115),65,"106,550",61
Macoupin County, IL (17117),43,"45,908",93.7
