County,State (Code),Deaths,Population,Crude Rate Per 100000
Newport News city, VA (51700),33,"181,825",18.1
Norfolk city, VA (51710),35,"245,115",14.3
Petersburg city, VA (51730),10,"31,882",Unreliable
Portsmouth city, VA (51740),17,"95,252",Unreliable
Richmond city, VA (51760),48,"223,170",21.5
Roanoke city, VA (51770),10,"99,660",Unreliable
Virginia Beach city, VA (51810),19,"452,602",Unreliable
Clark County, WA (53011),13,"467,018",Unreliable
King County, WA (53033),53,"2,149,970",2.5
Pierce County, WA (53053),36,"861,312",4.2
Snohomish County, WA (53061),21,"787,620",2.7
Spokane County, WA (53063),18,"499,072",Unreliable
Yakima County, WA (53077),19,"249,636",Unreliable
Cabell County, WV (54011),12,"95,987",Unreliable
Kanawha County, WV (54039),17,"186,241",Unreliable
Dane County, WI (55025),10,"531,273",Unreliable
Milwaukee County, WI (55079),164,"951,448",17.2
