County,State (Code),Deaths,Population,Crude Rate Per 100000
Midland County, MI (26111),12,"83,462",Unreliable
Monroe County, MI (26115),15,"149,208",Unreliable
Muskegon County, MI (26121),22,"173,408",12.7
Oakland County, MI (26125),127,"1,243,970",10.2
Ottawa County, MI (26139),35,"282,250",12.4
Saginaw County, MI (26145),21,"192,326",10.9
St. Clair County, MI (26147),17,"159,587",Unreliable
Shiawassee County, MI (26155),10,"68,554",Unreliable
Van Buren County, MI (26159),10,"75,223",Unreliable
Washtenaw County, MI (26161),36,"364,709",9.9
Wayne County, MI (26163),134,"1,749,366",7.7
Anoka County, MN (27003),25,"345,957",7.2
Benton County, MN (27009),10,"39,992",Unreliable
Blue Earth County, MN (27013),11,"66,441",Unreliable
Dakota County, MN (27037),42,"417,486",10.1
Hennepin County, MN (27053),137,"1,232,483",11.1
Olmsted County, MN (27109),22,"153,102",14.4
Otter Tail County, MN (27111),10,"58,085",Unreliable
Ramsey County, MN (27123),68,"540,649",12.6
St. Louis County, MN (27137),20,"199,980",10
Scott County, MN (27139),17,"143,680",Unreliable
Stearns County, MN (27145),22,"155,652",14.1
Washington County, MN (27163),31,"253,117",12.2
Wright County, MN (27171),15,"132,550",Unreliable
DeSoto County, MS (28033),17,"175,611",Unreliable
Harrison County, MS (28047),16,"203,234",Unreliable
Hinds County, MS (28049),13,"241,229",Unreliable
Jackson County, MS (28059),14,"141,241",Unreliable
Madison County, MS (28089),16,"105,114",Unreliable
Boone County, MO (29019),12,"176,594",Unreliable
Cass County, MO (29037),14,"102,845",Unreliable
Christian County, MO (29043),10,"84,401",Unreliable
Clay County, MO (29047),19,"239,085",Unreliable
Cole County, MO (29051),10,"76,631",Unreliable
Greene County, MO (29077),35,"288,690",12.1
Jackson County, MO (29095),60,"691,801",8.7
Jefferson County, MO (29099),21,"224,226",9.4
Platte County, MO (29165),13,"98,309",Unreliable
St. Charles County, MO (29183),37,"390,918",9.5
St. Louis County, MO (29189),120,"998,581",12
St. Louis city, MO (29510),20,"311,404",6.4
Flathead County, MT (30029),13,"98,082",Unreliable
Yellowstone County, MT (30111),18,"158,437",Unreliable
Douglas County, NE (31055),38,"554,995",6.8
Lancaster County, NE (31109),35,"309,637",11.3
Sarpy County, NE (31153),11,"179,023",Unreliable
Clark County, NV (32003),146,"2,155,664",6.8
Washoe County, NV (32031),49,"453,616",10.8
Belknap County, NH (33001),12,"60,779",Unreliable
Hillsborough County, NH (33011),32,"407,761",7.8
Merrimack County, NH (33013),12,"148,582",Unreliable
Rockingham County, NH (33015),37,"303,251",12.2
Strafford County, NH (33017),12,"127,428",Unreliable
Atlantic County, NJ (34001),26,"270,991",9.6
Bergen County, NJ (34003),90,"939,151",9.6
Burlington County, NJ (34005),61,"449,284",13.6
Camden County, NJ (34007),42,"510,150",8.2
Essex County, NJ (34013),50,"796,914",6.3
Gloucester County, NJ (34015),27,"292,330",9.2
Hudson County, NJ (34017),25,"677,983",3.7
Hunterdon County, NJ (34019),16,"124,676",Unreliable
Mercer County, NJ (34021),29,"371,023",7.8
Middlesex County, NJ (34023),71,"837,073",8.5
Monmouth County, NJ (34025),66,"625,846",10.5
Morris County, NJ (34027),42,"498,423",8.4
