County,State (Code),Deaths,Population,Crude Rate Per 100000
Johnson County, IN (18081),25,"151,982",16.4
Knox County, IN (18083),14,"37,744",Unreliable
Kosciusko County, IN (18085),28,"79,092",35.4
Lake County, IN (18089),163,"485,846",33.5
La Porte County, IN (18091),47,"110,015",42.7
Lawrence County, IN (18093),21,"45,518",46.1
Madison County, IN (18095),52,"129,296",40.2
Marion County, IN (18097),252,"941,229",26.8
Monroe County, IN (18105),17,"145,496",Unreliable
Montgomery County, IN (18107),12,"38,074",Unreliable
Morgan County, IN (18109),16,"69,698",Unreliable
Noble County, IN (18113),16,"47,638",Unreliable
Owen County, IN (18119),10,"20,840",Unreliable
Pike County, IN (18125),16,"12,431",Unreliable
Porter County, IN (18127),47,"167,791",28
St. Joseph County, IN (18141),83,"269,141",30.8
Scott County, IN (18143),10,"23,730",Unreliable
Tippecanoe County, IN (18157),17,"188,059",Unreliable
Vanderburgh County, IN (18163),66,"181,721",36.3
Vermillion County, IN (18165),11,"15,645",Unreliable
Vigo County, IN (18167),27,"107,931",25
Wabash County, IN (18169),17,"31,762",Unreliable
Warrick County, IN (18173),10,"62,498",Unreliable
Washington County, IN (18175),11,"27,670",Unreliable
Wayne County, IN (18177),29,"66,568",43.6
Black Hawk County, IA (19013),35,"132,904",26.3
Boone County, IA (19015),14,"26,532",Unreliable
Buena Vista County, IA (19021),12,"20,332",Unreliable
Cedar County, IA (19031),10,"18,454",Unreliable
Clinton County, IA (19045),19,"47,309",Unreliable
Dallas County, IA (19049),10,"84,516",Unreliable
Des Moines County, IA (19057),12,"39,739",Unreliable
Dubuque County, IA (19061),19,"97,003",Unreliable
Jasper County, IA (19099),15,"36,708",Unreliable
Johnson County, IA (19103),12,"146,547",Unreliable
Linn County, IA (19113),46,"221,661",20.8
Marion County, IA (19125),10,"33,189",Unreliable
Marshall County, IA (19127),18,"40,312",Unreliable
Muscatine County, IA (19139),14,"42,940",Unreliable
Plymouth County, IA (19149),13,"25,200",Unreliable
Polk County, IA (19153),98,"474,045",20.7
Pottawattamie County, IA (19155),13,"93,582",Unreliable
Poweshiek County, IA (19157),10,"18,533",Unreliable
Scott County, IA (19163),41,"172,474",23.8
Sioux County, IA (19167),10,"34,898",Unreliable
Story County, IA (19169),15,"97,090",Unreliable
Woodbury County, IA (19193),35,"102,779",34.1
Cowley County, KS (20035),10,"35,753",Unreliable
Crawford County, KS (20037),13,"39,164",Unreliable
Douglas County, KS (20045),15,"119,440",Unreliable
Franklin County, KS (20059),12,"25,560",Unreliable
Harvey County, KS (20079),16,"34,913",Unreliable
Johnson County, KS (20091),73,"584,451",12.5
Leavenworth County, KS (20103),19,"80,204",Unreliable
Lyon County, KS (20111),10,"33,510",Unreliable
Montgomery County, KS (20125),16,"32,746",Unreliable
Reno County, KS (20155),19,"63,220",Unreliable
Saline County, KS (20169),12,"55,142",Unreliable
Sedgwick County, KS (20173),131,"511,995",25.6
Shawnee County, KS (20177),56,"178,146",31.4
Sumner County, KS (20191),13,"23,272",Unreliable
Wyandotte County, KS (20209),48,"163,831",29.3
Bell County, KY (21013),22,"27,117",81.1
Boone County, KY (21015),41,"128,536",31.9
Boyd County, KY (21019),14,"48,132",Unreliable
Bullitt County, KY (21029),17,"79,151",Unreliable
Campbell County, KY (21037),23,"92,211",24.9
Christian County, KY (21047),28,"72,351",38.7
Clark County, KY (21049),14,"35,819",Unreliable
Clay County, KY (21051),13,"20,766",Unreliable
Daviess County, KY (21059),25,"99,674",25.1
Fayette County, KY (21067),64,"318,449",20.1
Floyd County, KY (21071),15,"37,110",Unreliable
Franklin County, KY (21073),10,"50,560",Unreliable
Grant County, KY (21081),10,"24,923",Unreliable
Graves County, KY (21083),16,"37,182",Unreliable
Grayson County, KY (21085),11,"26,184",Unreliable
Greenup County, KY (21089),14,"35,893",Unreliable
Hardin County, KY (21093),35,"107,316",32.6
Harlan County, KY (21095),13,"27,168",Unreliable
Hart County, KY (21099),12,"18,627",Unreliable
