County,State (Code),Deaths,Population,Crude Rate Per 100000
Lee County, MS (28081),27,"85,381",31.6
Lowndes County, MS (28087),13,"59,602",Unreliable
Madison County, MS (28089),24,"105,114",22.8
Marion County, MS (28091),19,"25,251",Unreliable
Monroe County, MS (28095),11,"35,873",Unreliable
Pearl River County, MS (28109),18,"55,310",Unreliable
Pike County, MS (28113),10,"39,667",Unreliable
Rankin County, MS (28121),25,"150,228",16.6
Warren County, MS (28149),20,"47,140",42.4
Washington County, MS (28151),11,"47,231",Unreliable
Yazoo County, MS (28163),10,"27,264",Unreliable
Boone County, MO (29019),15,"176,594",Unreliable
Camden County, MO (29029),11,"44,497",Unreliable
Cass County, MO (29037),13,"102,845",Unreliable
Clay County, MO (29047),18,"239,085",Unreliable
Cole County, MO (29051),11,"76,631",Unreliable
Franklin County, MO (29071),13,"102,838",Unreliable
Greene County, MO (29077),29,"288,690",10
Jackson County, MO (29095),102,"691,801",14.7
Jasper County, MO (29097),21,"119,111",17.6
Jefferson County, MO (29099),23,"224,226",10.3
St. Charles County, MO (29183),39,"390,918",10
St. Louis County, MO (29189),147,"998,581",14.7
St. Louis city, MO (29510),54,"311,404",17.3
Flathead County, MT (30029),21,"98,082",21.4
Yellowstone County, MT (30111),18,"158,437",Unreliable
Douglas County, NE (31055),53,"554,995",9.5
Lancaster County, NE (31109),23,"309,637",7.4
Sarpy County, NE (31153),13,"179,023",Unreliable
Clark County, NV (32003),97,"2,155,664",4.5
Washoe County, NV (32031),43,"453,616",9.5
Grafton County, NH (33009),11,"88,888",Unreliable
Hillsborough County, NH (33011),36,"407,761",8.8
Merrimack County, NH (33013),17,"148,582",Unreliable
Rockingham County, NH (33015),31,"303,251",10.2
Strafford County, NH (33017),10,"127,428",Unreliable
Atlantic County, NJ (34001),56,"270,991",20.7
Bergen County, NJ (34003),165,"939,151",17.6
Burlington County, NJ (34005),106,"449,284",23.6
Camden County, NJ (34007),129,"510,150",25.3
Cape May County, NJ (34009),20,"94,430",21.2
Cumberland County, NJ (34011),31,"153,797",20.2
Essex County, NJ (34013),200,"796,914",25.1
Gloucester County, NJ (34015),67,"292,330",22.9
Hudson County, NJ (34017),145,"677,983",21.4
Hunterdon County, NJ (34019),24,"124,676",19.2
Mercer County, NJ (34021),82,"371,023",22.1
Middlesex County, NJ (34023),172,"837,073",20.5
Monmouth County, NJ (34025),113,"625,846",18.1
Morris County, NJ (34027),75,"498,423",15
Ocean County, NJ (34029),151,"592,497",25.5
Passaic County, NJ (34031),142,"507,945",28
Salem County, NJ (34033),16,"63,436",Unreliable
Somerset County, NJ (34035),53,"333,751",15.9
Sussex County, NJ (34037),28,"142,522",19.6
Union County, NJ (34039),136,"555,630",24.5
Warren County, NJ (34041),14,"106,617",Unreliable
Bernalillo County, NM (35001),66,"676,953",9.7
Chaves County, NM (35005),13,"65,282",Unreliable
Dona Ana County, NM (35013),18,"214,207",Unreliable
McKinley County, NM (35031),10,"74,923",Unreliable
Otero County, NM (35035),11,"65,410",Unreliable
Sandoval County, NM (35043),12,"142,025",Unreliable
San Juan County, NM (35045),11,"115,079",Unreliable
Santa Fe County, NM (35049),10,"148,651",Unreliable
Albany County, NY (36001),57,"308,846",18.5
Bronx County, NY (36005),117,"1,455,720",8
Broome County, NY (36007),32,"195,334",16.4
Cattaraugus County, NY (36009),15,"77,677",Unreliable
Cayuga County, NY (36011),23,"77,861",29.5
Chautauqua County, NY (36013),33,"129,504",25.5
Chemung County, NY (36015),13,"86,322",Unreliable
Columbia County, NY (36021),18,"60,989",Unreliable
Cortland County, NY (36023),11,"48,070",Unreliable
Dutchess County, NY (36027),65,"294,473",22.1
Erie County, NY (36029),212,"921,046",23
Fulton County, NY (36035),13,"53,828",Unreliable
Greene County, NY (36039),17,"47,508",Unreliable
Jefferson County, NY (36045),15,"114,006",Unreliable
Kings County, NY (36047),137,"2,629,150",5.2
Monroe County, NY (36055),61,"747,727",8.2
Montgomery County, NY (36057),16,"49,276",Unreliable
Nassau County, NY (36059),278,"1,361,500",20.4
New York County, NY (36061),76,"1,643,734",4.6
Niagara County, NY (36063),44,"211,758",20.8
Oneida County, NY (36065),40,"231,190",17.3
Onondaga County, NY (36067),71,"466,194",15.2
Orange County, NY (36071),77,"379,210",20.3
Oswego County, NY (36075),23,"118,987",19.3
Otsego County, NY (36077),11,"60,097",Unreliable
Putnam County, NY (36079),26,"98,900",26.3
Queens County, NY (36081),157,"2,333,054",6.7
Rensselaer County, NY (36083),29,"160,070",18.1
Richmond County, NY (36085),34,"476,015",7.1
Rockland County, NY (36087),77,"326,780",23.6
Saratoga County, NY (36091),31,"227,053",13.7
Schenectady County, NY (36093),34,"154,553",22
Steuben County, NY (36101),20,"96,940",20.6
Suffolk County, NY (36103),239,"1,492,583",16
Sullivan County, NY (36105),17,"74,801",Unreliable
Tioga County, NY (36107),11,"48,760",Unreliable
Tompkins County, NY (36109),14,"104,871",Unreliable
Ulster County, NY (36111),42,"179,225",23.4
Westchester County, NY (36119),185,"974,542",19
Alamance County, NC (37001),36,"159,688",22.5
Bladen County, NC (37017),10,"33,741",Unreliable
Brunswick County, NC (37019),22,"126,953",17.3
Buncombe County, NC (37021),29,"256,088",11.3
Burke County, NC (37023),17,"88,851",Unreliable
Cabarrus County, NC (37025),22,"201,590",10.9
Caldwell County, NC (37027),17,"81,449",Unreliable
Carteret County, NC (37031),11,"68,890",Unreliable
Catawba County, NC (37035),27,"156,459",17.3
Cleveland County, NC (37045),35,"97,144",36
Columbus County, NC (37047),19,"56,505",Unreliable
Craven County, NC (37049),11,"103,445",Unreliable
Cumberland County, NC (37051),59,"327,127",18
Davidson County, NC (37057),34,"164,926",20.6
Davie County, NC (37059),13,"42,013",Unreliable
Duplin County, NC (37061),14,"58,969",Unreliable
Durham County, NC (37063),27,"306,212",8.8
Edgecombe County, NC (37065),15,"53,318",Unreliable
Forsyth County, NC (37067),68,"371,511",18.3
Franklin County, NC (37069),11,"64,705",Unreliable
Gaston County, NC (37071),51,"216,965",23.5
Guilford County, NC (37081),84,"521,330",16.1
Halifax County, NC (37083),11,"51,766",Unreliable
Harnett County, NC (37085),15,"130,881",Unreliable
Haywood County, NC (37087),10,"60,682",Unreliable
Henderson County, NC (37089),17,"114,209",Unreliable
Iredell County, NC (37097),33,"172,916",19.1
Johnston County, NC (37101),24,"191,450",12.5
Lee County, NC (37105),13,"59,616",Unreliable
Lenoir County, NC (37107),16,"57,307",Unreliable
Lincoln County, NC (37109),13,"81,168",Unreliable
McDowell County, NC (37111),11,"45,075",Unreliable
Mecklenburg County, NC (37119),114,"1,054,835",10.8
Moore County, NC (37125),14,"95,776",Unreliable
Nash County, NC (37127),17,"94,005",Unreliable
New Hanover County, NC (37129),30,"223,483",13.4
Onslow County, NC (37133),20,"187,136",10.7
Orange County, NC (37135),12,"141,796",Unreliable
Pender County, NC (37141),16,"59,090",Unreliable
Pitt County, NC (37147),22,"177,220",12.4
Randolph County, NC (37151),31,"143,416",21.6
Robeson County, NC (37155),43,"133,235",32.3
Rockingham County, NC (37157),21,"91,393",23
Rowan County, NC (37159),31,"139,933",22.2
Rutherford County, NC (37161),17,"66,421",Unreliable
Sampson County, NC (37163),12,"63,124",Unreliable
Stanly County, NC (37167),12,"60,791",Unreliable
Surry County, NC (37171),13,"72,113",Unreliable
Union County, NC (37179),26,"226,606",11.5
Vance County, NC (37181),18,"44,244",Unreliable
Wake County, NC (37183),66,"1,046,791",6.3
Wayne County, NC (37191),18,"124,150",Unreliable
Wilkes County, NC (37193),13,"68,740",Unreliable
Wilson County, NC (37195),14,"81,661",Unreliable
Yadkin County, NC (37197),13,"37,532",Unreliable
Burleigh County, ND (38015),12,"94,487",Unreliable
Cass County, ND (38017),11,"175,249",Unreliable
Grand Forks County, ND (38035),10,"71,083",Unreliable
Allen County, OH (39003),19,"103,742",Unreliable
Ashtabula County, OH (39007),18,"98,231",Unreliable
Athens County, OH (39009),11,"66,186",Unreliable
Belmont County, OH (39013),17,"68,673",Unreliable
Butler County, OH (39017),56,"377,537",14.8
Clark County, OH (39023),26,"134,786",19.3
Clermont County, OH (39025),23,"203,022",11.3
Columbiana County, OH (39029),26,"103,685",25.1
Cuyahoga County, OH (39035),296,"1,249,352",23.7
Delaware County, OH (39041),10,"196,463",Unreliable
Erie County, OH (39043),14,"75,107",Unreliable
Fairfield County, OH (39045),22,"152,597",14.4
Franklin County, OH (39049),147,"1,264,518",11.6
Geauga County, OH (39055),12,"94,060",Unreliable
Greene County, OH (39057),30,"164,765",18.2
Hamilton County, OH (39061),144,"809,099",17.8
Hancock County, OH (39063),12,"75,872",Unreliable
Jackson County, OH (39079),10,"32,505",Unreliable
Jefferson County, OH (39081),23,"66,704",34.5
